ToxPi Score,HClust Group,KMeans Group,Name,Source,Infection Rate: Transmissible Cases!20!0xcc3333ff,Infection Rate: Disease Spread!5!0xe64d4dff,Pop Concentration: Pop Mobility!10!0x57b757ff,Pop Concentration: Residential Density!5!0x5ced5cff,Intervention: Vaccines!15!0x4258c9ff,Intervention: Social Distancing!5!0x6079f7ff,Intervention: Testing!5!0x7d90f3ff,Health & Environment: Hospital Beds!10!0x6b0b9eff,Health & Environment: Hospital Ventilators!10!0x7e24aeff,Health & Environment: Pop Demographics!3!0x933fbfff,Health & Environment: Air Pollution!3!0xa95ad2ff,Health & Environment: Age Distribution!3!0xc177e7ff,Health & Environment: Co-morbidities!3!0xdb95feff,Health & Environment: Health Disparities!3!0xe1a6ffff
0.55104209,2,8,"Pennsylvania, Bedford","40.0052,-78.49",0.759757237,0.762659351,0.540369405,0.3053,0.808232932,0.575,0.368836882,0.660550459,0,0.156391551,0.45508982,0.651058637,0.329194785,0.314062032
0.62269389,2,4,"Pennsylvania, Berks","40.4157,-75.9246",0.805229942,0.778039327,0.669060465,0.623,0.773092369,0.675,0.325704037,0.76146789,0.19,0.474544832,0.419161677,0.549497408,0.364669947,0.3102609
0.616471697,2,4,"Pennsylvania, Blair","40.4796,-78.3492",0.804104264,0.785364259,0.637355737,0.6189,0.726907631,0.575,0.292885045,0.71559633,0.38,0.245469721,0.491017964,0.615195238,0.385327539,0.253390468
0.590408482,2,4,"Pennsylvania, Bradford","41.7887,-76.5157",0.789374913,0.786320185,0.553195729,0.5065,0.794176707,0.575,0.295592122,0.743119266,0.2,0.202092903,0.359281437,0.624489779,0.410856254,0.256775577
0.562456027,2,4,"Pennsylvania, Bucks","40.3368,-75.1084",0.779654237,0.776359627,0.70820259,0.1983,0.689759036,0.825,0.282487915,0.642201835,0.15,0.366239223,0.425149701,0.571298465,0.223913783,0.043848967
0.551603372,2,4,"Pennsylvania, Butler","40.9115,-79.9135",0.71245287,0.720473619,0.615590859,0.5412,0.658634538,0.675,0.33134814,0.743119266,0.12,0.195165251,0.532934132,0.573410039,0.293797988,0.039543157
0.612491196,2,4,"Pennsylvania, Cambria","40.4953,-78.7138",0.790534255,0.77038794,0.607878214,0.667,0.687751004,0.675,0.299309088,0.697247706,0.36,0.290258751,0.51497006,0.64415674,0.378937144,0.309152353
0.429437264,9,5,"Pennsylvania, Cameron","41.4363,-78.2038",0.463971532,0.539268938,0.514905463,0.475,0.657630522,0.25,0.337746451,0.46559633,0.0525,0.265011087,0.353293413,0.719577817,0.284614306,0.197417725
0.539651807,2,4,"Pennsylvania, Carbon","40.9155,-75.7069",0.749529229,0.74671198,0.591391244,0.2216,0.728915663,0.575,0.290616876,0.688073394,0,0.310862376,0.431137725,0.620799731,0.370169614,0.292554057
0.578020596,2,4,"Pennsylvania, Centre","40.9206,-77.822",0.776091201,0.762138325,0.620340202,0.9701,0.698795181,0.5,0.257914202,0.733944954,0.12,0.30180927,0.353293413,0.466894495,0.200737597,0.212163114
