ToxPi Score,HClust Group,KMeans Group,Name,FIPS,Source,Infection Rate: Transmissible Cases!25!0xcc3333ff,Infection Rate: Disease Spread!5!0xe64d4dff,Pop Concentration: Pop Mobility!10!0x57b757ff,Pop Concentration: Residential Density!10!0x5ced5cff,Intervention: Social Distancing!10!0x4258c9ff,Intervention: Testing!10!0x6079f7ff,Health & Environment: Pop Demographics!10!0x6b0b9eff,Health & Environment: Air Pollution!10!0x8e26c4ff,Health & Environment: Age Distribution!10!0x9a42c8ff,Health & Environment: Co-morbidities!10!0xb460e0ff,Health & Environment: Health Disparities!10!0xc885ecff,Health & Environment: Hospital Beds!5!0xdeb9f1ff
0.485906805,10,1,"New Jersey, Monmouth",34025,"-74.2224,40.2655",0.685926511,0.057742422,0.727815768,0.3126,1,0.41361975,0.414503203,0.413173653,0.549497408,0.199646726,0.091802938,0.414976262
0.4684452,10,1,"New Jersey, Morris",34027,"-74.5455,40.861",0.671436316,0.061069649,0.731897877,0.2881,1,0.41361975,0.355539103,0.419161677,0.542700409,0.122086526,0.049691337,0.447285403
0.494309124,7,1,"New Jersey, Ocean",34029,"-74.2809,39.8895",0.681166819,0.053567027,0.704829843,0.3757,1,0.41361975,0.335118029,0.28742515,0.65951006,0.266482656,0.17021877,0.472518448
0.58047645,5,6,"New Jersey, Passaic",34031,"-74.2995,41.0324",0.704936627,0.058132809,0.79271749,0.9067,1,0.41361975,0.60925257,0.401197605,0.483339449,0.217347369,0.408947175,0.462852495
0.526170682,5,6,"New Jersey, Salem",34033,"-75.347,39.5872",0.663047947,0.061965812,0.612752775,0.5922,0.75,0.41361975,0.549397092,0.473053892,0.573410039,0.431790999,0.288044535,0.40852333
0.462422161,10,1,"New Jersey, Somerset",34035,"-74.6168,40.5647",0.652143112,0.058356269,0.724386474,0.1777,1,0.41361975,0.46929739,0.413173653,0.506721514,0.118403387,0.05297677,0.488924322
0.442005366,10,1,"New Jersey, Sussex",34037,"-74.6912,41.1389",0.720255662,0.098127627,0.605503455,0.0465,0.825,0.41361975,0.306063402,0.365269461,0.538099217,0.227553504,0.067647432,0.560215771
0.559027425,7,6,"New Jersey, Union",34039,"-74.3068,40.6584",0.681719215,0.053227831,0.822470852,0.7905,1,0.41361975,0.614860965,0.443113772,0.483339449,0.180797783,0.295889267,0.424678056
0.49259071,10,1,"New Jersey, Warren",34041,"-74.9956,40.8595",0.684839848,0.076574633,0.648011977,0.3372,1,0.41361975,0.391489618,0.419161677,0.56273046,0.262164394,0.156401713,0.432434693
0.50172923,7,6,"New Mexico, Bernalillo",35001,"-106.6704,35.0516",0.508577376,0.017729037,0.725447471,0.659,0.825,0.597930716,0.611920211,0.233532934,0.516660551,0.222402468,0.362083585,0.47465897
0.379934027,9,5,"New Mexico, Catron",35003,"-108.4047,33.9151",0.477719641,0.045454545,0.255759555,0.1732,0.5,0.597930716,0.434087533,0.077844311,0.863026458,0.275789393,0.354510993,0
